t,x1,y1,x2,y2,segmentationfailed
238,3350.2540893554688,3567.0798473358154,3350.287685394287,3566.7673740386963,1
238,3350.9520683288574,3607.1548080444336,3349.664764404297,3610.355857849121,1
238,3351.3379821777344,3661.9192810058594,3351.3379821777344,3661.9192810058594,1
238,3352.5578689575195,3565.918260574341,3352.3706398010254,3565.5992755889893,1
238,3352.5839462280273,3569.157667160034,3354.5839462280273,3569.157667160034,1
238,3355.053855895996,3609.0644607543945,3355.2420654296875,3609.464599609375,1
238,3355.8071060180664,3572.446071624756,3352.4486541748047,3570.0449981689453,1
238,3355.9160537719727,3570.342332839966,3357.91605758667,3570.3423461914062,1
238,3355.9588356018066,3658.035369873047,3355.9642639160156,3659.894157409668,1
238,3356.0887718200684,3614.215431213379,3356.12361907959,3616.051025390625,1
238,3356.320209503174,3620.89591217041,3355.318634033203,3616.9109115600586,1
238,3356.4498023986816,3602.8166885375977,3356.3229370117188,3602.4093856811523,1
238,3357.0437774658203,3620.067543029785,3357.1160469055176,3621.392463684082,1
238,3357.132167816162,3657.555709838867,3357.126693725586,3659.5533294677734,1
238,3357.132167816162,3657.555709838867,3357.126693725586,3659.5533294677734,1
238,3361.730396270752,3567.7480239868164,3363.4051628112793,3568.133020401001,1
238,3363.4322929382324,3569.444839477539,3365.097412109375,3570.019479751587,1
238,3372.3423347473145,3576.9160537719727,3372.3423347473145,3578.9160537719727,1
240,3320.1225051879883,3623.944496154785,3320.123237848282,3623.944869995117,1
240,3320.1225051879883,3623.944496154785,3320.123237848282,3623.944869995117,1
240,3320.468501329422,3669.5415420532227,3320.464189052582,3669.538314819336,1
240,3320.468501329422,3669.5415420532227,3320.464189052582,3669.538314819336,1
240,3320.6756093502045,3625.4786529541016,3320.7394456863403,3625.513427734375,1
240,3323.877317428589,3661.7794036865234,3323.3950123786926,3662.019386291504,1
240,3324.2259430885315,3667.2830657958984,3324.0223803520203,3667.312400817871,1
240,3324.3162841796875,3627.069290161133,3324.916965007782,3627.076446533203,1
240,3324.891351699829,3666.1926193237305,3324.849305152893,3666.1544494628906,1
240,3324.9519381523132,3623.608222961426,3324.8066759109497,3623.637252807617,1
240,3324.9519381523132,3623.608222961426,3324.8066759109497,3623.637252807617,1
240,3324.9697999954224,3665.153518676758,3325.0432357788086,3665.1558685302734,1
240,3325.296489715576,3583.996513366699,3327.296489715576,3583.996513366699,1
240,3325.9167613983154,3663.159019470215,3326.918073654175,3663.1602096557617,1
240,3326.9532833099365,3670.3022079467773,3327.369252204895,3670.1663208007812,1
240,3327.319522857666,3672.5210723876953,3327.6314096450806,3672.5003051757812,1
240,3327.645224571228,3673.041213989258,3327.7418298721313,3673.0291442871094,1
240,3328.340527534485,3663.668228149414,3328.903744697571,3663.655303955078,1
240,3328.4320526123047,3663.8489532470703,3329.0715494155884,3663.9032821655273,1
240,3328.700665473938,3641.8743591308594,3328.7664546966553,3644.438377380371,1
240,3329.0527124404907,3635.112464904785,3329.180012702942,3637.3195037841797,1
240,3329.513868331909,3667.333808898926,3329.5160360336304,3667.3374252319336,1
240,3329.7051553726196,3630.0445709228516,3329.6979999542236,3630.6168060302734,1
240,3330.5980548858643,3659.2106170654297,3330.4661893844604,3659.2004623413086,1
240,3330.5980548858643,3659.2106170654297,3330.4661893844604,3659.2004623413086,1
240,3330.9810857772827,3632.6651458740234,3329.6979999542236,3630.6168060302734,1
240,3330.988856315613,3663.2509155273438,3330.9913177490234,3663.2518768310547,1
240,3331.1528730392456,3609.5873794555664,3331.4150533676147,3609.6357917785645,1
240,3331.1596689224243,3639.5826873779297,3331.1596689224243,3641.5826873779297,1
240,3331.296474456787,3582.996509552002,3333.296474456787,3582.996509552002,1
240,3331.3409729003906,3637.9170989990234,3331.3409729003906,3639.9170989990234,1
240,3331.5125188827515,3671.3311309814453,3331.5127115249634,3671.331214904785,1
240,3331.8153562545776,3659.8911056518555,3330.4661893844604,3659.2004623413086,1
240,3331.9871139526367,3670.1689071655273,3333.987112045288,3669.168899536133,1
